Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source
2022-07-20 13:28:50,177.21.83.200,196.218.124.169,35538,35006,Icmp,661,Data,Http,Sequi maxime voluptate ea. Eius officiis eaque. Nesciunt aspernatur rerum qui aperiam earum. Eius dolore molestias. Voluptas laboriosam vero suscipit assumenda inventore.,,24.91,Alert Triggered,Malware,Known Pattern B,Ignored,Medium,Hunar Sem,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; xh-ZA) AppleWebKit/534.25.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6534.25.1",Segment B,"Gangtok, Haryana",29.161.99.247,,,Server
2022-06-26 15:15:50,92.4.25.171,112.43.185.24,10903,36817,Tcp,281,Control,Http,Nihil praesentium asperiores omnis ullam libero. Facilis eius aspernatur perspiciatis inventore veniam. Laborum nobis ex iste.,,86.07,,Malware,Known Pattern B,Ignored,Low,Mehul Raj,Opera/8.38.(X11; Linux x86_64; pt-BR) Presto/2.9.175 Version/12.00,Segment B,"Nandyal, Mizoram",,,,Firewall
2020-09-30 21:35:31,57.91.207.84,98.96.110.38,53471,38048,Icmp,64,Control,Dns,Earum sit est et eaque ipsam. Vero repellendus error iusto eveniet.,,74.2,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Vaibhav Kala,Opera/8.54.(Windows NT 6.0; tg-TJ) Presto/2.9.170 Version/12.00,Segment B,"Silchar, Kerala",,Log Data,Alert Data,Server
2021-01-13 02:30:18,80.28.21.123,111.204.103.106,43729,10845,Icmp,1341,Data,Http,Ab voluptatibus nam aperiam. Est sed nostrum animi quae quas. Rerum minus possimus quis. Cupiditate provident doloremque aliquam maiores tenetur tempora. Similique dolor ullam illo placeat.,,62.14,,Malware,Known Pattern A,Ignored,Low,Siya Gera,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.1),Segment C,"Gudivada, Odisha",59.131.15.72,,,Firewall
2023-02-01 13:17:17,54.163.130.178,62.112.149.214,47795,35243,Udp,913,Data,Dns,Sit doloremque explicabo. Cupiditate placeat exercitationem. Dolores rerum iste necessitatibus libero voluptate. Suscipit itaque inventore eveniet ipsa. Ea ipsa minima impedit aliquam cumque.,,72.65,Alert Triggered,Malware,Known Pattern B,Logged,High,Inaaya Soman,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/5645-10-22 09:50:59 Firefox/3.8,Segment B,"Silchar, Maharashtra",155.121.88.187,,,Firewall
2023-09-15 20:35:21,130.163.192.252,12.192.2.112,24912,21176,Tcp,425,Data,Dns,Voluptates nam doloremque. Eius amet officiis aperiam delectus mollitia pariatur. Ducimus aut in dolorem ipsum molestiae.,,91.56,Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,Shaan Subramaniam,Opera/8.85.(X11; Linux x86_64; sk-SK) Presto/2.9.163 Version/11.00,Segment C,"Bhiwandi, Tripura",,Log Data,,Firewall
2023-04-18 16:46:46,4.255.187.165,136.159.186.239,39934,5259,Tcp,838,Control,Http,Sed facere culpa aliquam. Adipisci error quisquam reprehenderit itaque fugit illum. Minima exercitationem occaecati nemo repudiandae officia quasi. Tempora maxime commodi illo.,,43.83,Alert Triggered,Ddos,Known Pattern B,Ignored,High,Samarth Ratti,Opera/8.72.(Windows NT 6.1; ia-FR) Presto/2.9.160 Version/12.00,Segment B,"Solapur, Telangana",,Log Data,,Server
2023-02-21 07:02:55,212.164.196.41,32.26.31.49,16513,50583,Tcp,969,Data,Http,Dolore nisi voluptatem. Debitis explicabo fuga perferendis esse omnis. Sit voluptatibus aliquid eos molestias cumque. Harum rem doloremque officiis nesciunt velit suscipit.,,40.46,,Ddos,Known Pattern A,Logged,Low,Shayak Kapadia,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/46.0.873.0 Safari/536.0",Segment B,"Darbhanga, Mizoram",20.252.145.34,Log Data,Alert Data,Firewall
2020-12-29 02:50:47,119.101.120.119,47.125.34.52,4510,26783,Tcp,124,Control,Dns,Qui sapiente laboriosam minima veritatis impedit vel. Placeat itaque incidunt non. Consequuntur quo quod. Recusandae similique explicabo error labore impedit et. Beatae tenetur voluptatum veniam.,,44.75,Alert Triggered,Ddos,Known Pattern B,Ignored,High,Faiyaz Sathe,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 10.0; Trident/4.0),Segment C,"Rampur, Rajasthan",,,,Firewall
2020-07-27 00:00:53,104.176.150.78,110.80.185.102,55147,17595,Tcp,461,Data,Http,Ipsa est placeat cumque ut id. Quisquam provident quidem beatae. Corporis nam aut expedita reprehenderit. Expedita eum cupiditate dolor beatae inventore minus.,Ioc Detected,13.19,,Ddos,Known Pattern B,Ignored,High,Zara Sachar,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/18.1i4735.0 Mobile/92M384 Safari/533.2",Segment B,"Ahmednagar, Uttarakhand",106.203.136.99,Log Data,Alert Data,Server
2021-07-16 20:45:42,116.61.253.182,170.92.148.90,24907,37634,Icmp,845,Control,Dns,Ipsam ullam doloribus magni eos beatae eveniet. Labore provident vel perspiciatis doloribus excepturi. Modi eaque dolor ut.,,89.99,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,Manjari Randhawa,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1 rv:4.0; an-ES) AppleWebKit/533.41.7 (KHTML, like Gecko) Version/4.0.4 Safari/533.41.7",Segment A,"Kharagpur, West Bengal",71.135.96.151,Log Data,,Firewall
2022-04-29 14:46:46,214.247.90.42,196.26.121.164,37998,1757,Udp,410,Control,Dns,Architecto voluptatum delectus. Aut quia fugiat molestias eum magnam animi. Dignissimos incidunt magnam officiis omnis iste soluta.,Ioc Detected,86.91,,Malware,Known Pattern B,Blocked,Low,Sahil Kapoor,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/531.13.4 (KHTML, like Gecko) Version/4.0 Safari/531.13.4",Segment C,"Tadepalligudem, Rajasthan",,Log Data,Alert Data,Server
2023-02-24 06:39:25,57.7.171.107,76.146.23.52,3133,46077,Udp,1425,Data,Dns,Praesentium voluptatibus sapiente.,,72.25,,Ddos,Known Pattern A,Logged,High,Akarsh Khurana,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/5.1),Segment A,"Gaya, Gujarat",169.32.12.215,,Alert Data,Server
2023-09-15 15:43:03,46.236.76.78,68.194.124.162,40832,28015,Udp,118,Data,Http,Esse porro corrupti. Iusto magnam sunt dolorem fuga explicabo. Incidunt corrupti rem quisquam. Est iure suscipit. Pariatur tempora suscipit cum.,Ioc Detected,96.27,,Malware,Known Pattern A,Logged,Medium,Dhanush Sagar,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/5.1),Segment A,"Chandrapur, Chhattisgarh",50.108.129.83,,,Firewall
2023-10-06 06:53:51,71.41.31.239,105.193.254.47,39911,27107,Tcp,1386,Control,Dns,Ducimus totam dolor fugiat ipsa. Eum quas consectetur distinctio cum. Voluptatum numquam ab quasi molestiae laboriosam maiores. Illo nemo nulla cupiditate placeat nemo quo.,Ioc Detected,67.43,,Ddos,Known Pattern A,Blocked,Medium,Anika Sharaf,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/5.1),Segment C,"Guntakal, Rajasthan",,Log Data,,Server
2023-10-06 02:37:35,128.47.86.24,9.149.23.14,23021,31279,Udp,433,Control,Dns,Neque repellendus modi debitis dolorem officia. Placeat quae ipsum sapiente. Quia aspernatur dolores incidunt.,,89.86,Alert Triggered,Intrusion,Known Pattern A,Logged,Low,Drishya Zachariah,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/535.3.1 (KHTML, like Gecko) Version/5.0.4 Safari/535.3.1",Segment C,"Giridih, Assam",,Log Data,Alert Data,Firewall
2021-01-31 03:12:04,182.232.245.98,153.211.183.215,32552,15521,Udp,531,Control,Ftp,Ad officia corporis laudantium enim cumque facere. Tempora eos ad sed eaque minima quisquam. Cupiditate magni alias quisquam veniam. Quaerat nobis quos ad molestiae eligendi.,,87.23,,Malware,Known Pattern A,Blocked,High,Renee Ramachandran,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/533.47.5 (KHTML, like Gecko) Version/5.1 Safari/533.47.5",Segment C,"Katihar, Andhra Pradesh",183.242.33.16,Log Data,Alert Data,Firewall
2020-08-28 09:54:45,208.44.127.159,121.167.40.167,56607,33023,Tcp,282,Control,Http,Fugit quae placeat dicta tenetur ipsa. Facilis optio corrupti nulla. Eos iste voluptatum natus dignissimos fugiat.,Ioc Detected,44.4,Alert Triggered,Ddos,Known Pattern A,Logged,Low,Anahi Apte,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.0),Segment A,"Shahjahanpur, Andhra Pradesh",180.52.47.153,,Alert Data,Firewall
2021-05-29 15:33:51,197.137.61.248,87.49.219.65,64351,43307,Icmp,1487,Control,Http,Esse esse optio excepturi delectus dolore molestiae omnis. Eligendi omnis sapiente voluptatem corporis libero pariatur consequuntur.,Ioc Detected,45.42,,Intrusion,Known Pattern B,Blocked,Low,Faiyaz Som,Opera/8.62.(X11; Linux i686; ru-UA) Presto/2.9.184 Version/11.00,Segment C,"Solapur, Madhya Pradesh",,Log Data,Alert Data,Firewall
2022-05-30 18:26:12,69.60.34.24,160.208.108.125,19954,11594,Udp,563,Control,Dns,Quasi tempore quam recusandae. Voluptate earum placeat similique. Id voluptatibus voluptatem quas numquam expedita saepe. Itaque aspernatur fugit beatae nulla.,Ioc Detected,25.7,,Intrusion,Known Pattern B,Ignored,Medium,Kavya Shenoy,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/61.0.892.0 Safari/533.0",Segment C,"Coimbatore, Telangana",,Log Data,Alert Data,Firewall
2022-08-02 19:15:37,110.207.118.63,172.36.150.79,63062,49527,Tcp,1313,Control,Http,Debitis quam dolor incidunt esse quaerat amet. Ex voluptatibus temporibus beatae nulla rem rerum quam. Accusantium quibusdam velit sit.,Ioc Detected,69.2,Alert Triggered,Ddos,Known Pattern B,Logged,Low,Tushar Borra,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) CriOS/61.0.810.0 Mobile/41V682 Safari/536.0",Segment C,"Serampore, West Bengal",,Log Data,,Firewall
2023-01-10 12:29:37,188.40.103.145,84.139.233.32,39208,61136,Udp,350,Control,Http,Ipsa dolore eligendi amet necessitatibus. Voluptas neque praesentium possimus magni vero nam. Eius quas reiciendis rem iure tempore dolore. Asperiores ducimus omnis tenetur consequatur iure sequi.,,77.06,Alert Triggered,Ddos,Known Pattern A,Ignored,Medium,Mannat Goyal,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/535.44.6 (KHTML, like Gecko) Version/5.0 Safari/535.44.6",Segment A,"Gudivada, Karnataka",,Log Data,Alert Data,Firewall
2020-10-15 19:05:37,99.8.190.190,91.166.229.253,12932,47900,Tcp,373,Data,Dns,Iste harum voluptas hic harum sapiente suscipit sit. Est atque veniam aliquid ipsam aut. Eveniet pariatur id facilis. Quidem quibusdam dolor. Incidunt qui illo repellat vitae.,Ioc Detected,3.87,Alert Triggered,Malware,Known Pattern A,Ignored,Medium,Tushar Shenoy,Opera/9.76.(X11; Linux i686; ha-NG) Presto/2.9.181 Version/12.00,Segment B,"Nellore, Tripura",,Log Data,Alert Data,Server
2021-06-09 18:55:30,128.62.6.140,4.104.218.143,11482,16459,Icmp,1155,Control,Dns,Maxime nihil illo recusandae iusto minima. Fugiat occaecati ullam tempora. Earum nulla laudantium illum rem voluptatem libero. Nesciunt aliquam officiis accusantium sunt laboriosam repudiandae.,,25.93,Alert Triggered,Malware,Known Pattern A,Blocked,Low,Jiya Devan,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/45.0.897.0 Safari/533.2",Segment B,"Ludhiana, Goa",40.171.118.90,,,Firewall
2020-07-08 08:08:54,211.43.37.93,93.146.128.133,18768,8138,Tcp,521,Data,Ftp,Dignissimos a rerum. Corrupti distinctio odio eligendi culpa optio. A quis odit error. Quia ipsum consequatur mollitia animi nihil consequuntur. Sapiente reprehenderit placeat modi quaerat.,Ioc Detected,60.57,Alert Triggered,Ddos,Known Pattern B,Ignored,High,Yasmin Balan,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/10.1v4161.0 Mobile/63G518 Safari/532.2",Segment C,"Orai, Tamil Nadu",,Log Data,Alert Data,Server
2023-09-23 19:07:33,203.171.62.228,27.5.94.221,41615,15184,Icmp,1346,Data,Ftp,Magni blanditiis veritatis asperiores nihil. Similique est quibusdam cupiditate. Voluptas a dolorem. Explicabo sapiente autem.,Ioc Detected,67.73,,Intrusion,Known Pattern A,Blocked,Low,Bhavin Chaudhari,Mozilla/5.0 (Android 7.1; Mobile; rv:22.0) Gecko/22.0 Firefox/22.0,Segment A,"Jaunpur, Uttar Pradesh",,,Alert Data,Server
2022-05-22 03:10:27,115.120.220.179,72.56.150.150,34512,40467,Udp,1311,Control,Dns,Id repellat nesciunt atque cumque ullam. Quasi sunt autem enim totam temporibus. Nemo pariatur nemo possimus ducimus odio sunt impedit. Beatae molestias dolorum vitae.,Ioc Detected,75.16,,Ddos,Known Pattern B,Blocked,Medium,Aniruddh Dani,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/16.4h8714.0 Mobile/30G353 Safari/534.2",Segment C,"Hubli–Dharwad, Chhattisgarh",,,Alert Data,Firewall
2022-06-04 20:45:18,140.29.40.43,61.57.62.247,28975,5960,Udp,117,Control,Ftp,Mollitia beatae esse saepe culpa. Deserunt ipsa incidunt ipsam mollitia. Iusto ipsum cupiditate ipsa sed. Maiores minima vero. Iste dolores qui ea neque maiores.,,75.46,Alert Triggered,Malware,Known Pattern B,Logged,Low,Eva Dalal,Mozilla/5.0 (Android 1.0; Mobile; rv:45.0) Gecko/45.0 Firefox/45.0,Segment B,"Sagar, Mizoram",,,,Server
2022-12-29 23:42:12,76.128.95.185,142.92.111.242,46111,15554,Tcp,1271,Control,Http,Ad minima praesentium ducimus doloribus nobis quos. Mollitia illum laudantium vitae enim. Optio et laboriosam non expedita perspiciatis iusto.,,49.03,Alert Triggered,Malware,Known Pattern B,Logged,Medium,Nehmat Joshi,Opera/8.48.(Windows NT 6.0; mt-MT) Presto/2.9.171 Version/12.00,Segment C,"Medininagar, Gujarat",,,Alert Data,Firewall
2023-03-14 07:27:32,118.23.216.0,109.17.204.56,5032,1068,Tcp,308,Control,Dns,Debitis ut occaecati nostrum tempore sunt illum. Repudiandae dolorum reiciendis aperiam. Minima sequi alias doloremque ducimus. Illo officia molestiae voluptas. Rem ullam placeat ea.,,85.28,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Ojas Ray,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/10.8u7697.0 Mobile/58J944 Safari/534.2",Segment A,"Ichalkaranji, Sikkim",153.251.24.124,,,Server
2021-02-13 16:45:36,212.153.110.146,59.138.247.230,58316,54095,Tcp,545,Data,Dns,Officia odio expedita. Ab facilis recusandae debitis labore eaque non impedit. Maiores eveniet in ipsam ducimus consequuntur cupiditate.,,6.44,,Ddos,Known Pattern B,Ignored,Medium,Ela Guha,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ber-DZ) AppleWebKit/535.35.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6535.35.7",Segment A,"Bidar, Maharashtra",,,Alert Data,Firewall
2021-05-23 16:29:26,6.64.251.220,137.104.11.138,26896,45972,Udp,572,Control,Dns,Voluptatem aliquam sit. Asperiores quae doloremque at sit dolorem. Laboriosam necessitatibus in magni.,,22.17,,Ddos,Known Pattern B,Ignored,Low,Keya Biswas,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.0),Segment B,"Dewas, Uttar Pradesh",172.194.101.64,Log Data,Alert Data,Server
2022-12-01 08:47:07,170.112.189.99,21.28.78.79,1031,40417,Tcp,1474,Control,Http,Impedit itaque debitis repellendus. Reprehenderit ad dolore officiis natus placeat. Ducimus nostrum perferendis praesentium.,Ioc Detected,29.66,,Ddos,Known Pattern B,Logged,Low,Trisha Rajagopal,"Mozilla/5.0 (Linux; Android 4.4) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/16.0.840.0 Safari/534.2",Segment A,"Adoni, Tripura",,,,Firewall
2022-07-21 20:33:30,50.30.140.36,76.154.100.68,57124,48417,Udp,1363,Data,Ftp,Nulla magnam minima dolor similique tempore assumenda. Voluptatum ad voluptate expedita.,Ioc Detected,10.75,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,Farhan Mahal,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/531.24.5 (KHTML, like Gecko) Version/5.0.4 Safari/531.24.5",Segment A,"Eluru, Uttarakhand",,Log Data,,Server
2023-06-09 05:57:13,194.120.14.24,201.55.168.126,32979,3852,Udp,443,Data,Dns,Dicta ex ex asperiores consequuntur. Nostrum beatae aspernatur atque assumenda necessitatibus dolore. Inventore inventore laborum praesentium. Laborum quisquam tenetur minima.,,42.14,Alert Triggered,Malware,Known Pattern B,Ignored,High,Zara Kar,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_5; rv:1.9.3.20) Gecko/2197-07-11 00:07:59 Firefox/14.0,Segment A,"Parbhani, Rajasthan",16.90.191.251,Log Data,Alert Data,Server
2020-04-10 18:21:31,69.29.17.248,85.236.61.31,59738,44531,Tcp,1026,Data,Ftp,Esse harum consequuntur numquam sint tempore ducimus. Autem numquam nostrum id mollitia veritatis. Incidunt odit perspiciatis hic placeat aut accusantium. Possimus voluptatibus consectetur quis.,,77.73,,Ddos,Known Pattern B,Logged,Low,Samar Loyal,Opera/9.51.(X11; Linux i686; byn-ER) Presto/2.9.185 Version/12.00,Segment A,"Panvel, West Bengal",,,,Firewall
2023-05-16 13:01:56,170.211.138.30,172.97.181.148,25022,6593,Tcp,554,Control,Dns,Voluptate mollitia cupiditate necessitatibus nisi expedita pariatur. Recusandae dolorum eligendi qui placeat placeat molestiae dolorum. Odio sequi aut deleniti eius molestias.,Ioc Detected,97.82,Alert Triggered,Malware,Known Pattern B,Blocked,High,Aradhya Kamdar,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; sk-SK) AppleWebKit/531.45.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6531.45.6",Segment A,"Amravati, Kerala",95.170.137.42,Log Data,Alert Data,Firewall
2020-10-08 04:34:34,107.247.253.62,45.35.146.21,10584,23178,Icmp,649,Data,Http,Velit quis ad a aliquam veniam laboriosam dignissimos. Assumenda tenetur maiores animi harum iusto aut. Itaque quidem voluptas quidem.,Ioc Detected,83.36,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,Hansh Chaudhari,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/7083-06-02 15:24:24 Firefox/3.6.9,Segment C,"Vijayawada, Bihar",197.238.110.123,,Alert Data,Server
2021-08-20 14:42:57,118.175.170.127,43.100.128.47,23934,57206,Tcp,1378,Control,Dns,Pariatur quia dolore praesentium. Ut dolorem nihil nulla. Ab unde maiores deserunt tempora. Debitis numquam sed nisi. Vitae deleniti cum.,Ioc Detected,40.71,,Malware,Known Pattern A,Blocked,Medium,Nishith Tandon,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/4.1),Segment C,"Giridih, Chhattisgarh",20.86.235.147,Log Data,Alert Data,Firewall
2021-05-08 04:56:17,16.65.249.237,24.79.26.247,57819,10509,Icmp,107,Data,Http,Repellendus tempora rerum sed numquam vel accusantium. Sunt tempore ut ipsa vero sequi perspiciatis.,,1.33,Alert Triggered,Ddos,Known Pattern B,Ignored,High,Ishita Tella,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/5.0),Segment A,"Nashik, Assam",131.208.67.33,Log Data,,Firewall
2023-01-18 01:12:24,122.130.86.58,110.54.165.63,49005,19289,Icmp,317,Data,Http,Officia tenetur aliquam facere quasi numquam. Assumenda similique quisquam facilis porro nisi.,Ioc Detected,56.92,,Ddos,Known Pattern A,Ignored,Low,Mohanlal Talwar,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/4.0),Segment A,"Medininagar, Himachal Pradesh",79.251.62.155,Log Data,Alert Data,Server
2021-04-16 12:48:40,193.45.37.6,191.56.96.54,56497,23998,Icmp,875,Data,Http,Tempore illo sit commodi. Quos doloremque mollitia quidem quia dolor.,Ioc Detected,0.9,,Ddos,Known Pattern B,Blocked,High,Aradhya Yadav,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/532.30.2 (KHTML, like Gecko) Version/5.0 Safari/532.30.2",Segment B,"Tiruppur, Nagaland",211.236.141.117,,,Server
2022-04-28 14:18:26,68.123.14.202,168.106.24.90,32348,12619,Udp,576,Data,Dns,Aut perferendis eum ipsum iure accusantium. Dolorem voluptate voluptas. Velit nostrum mollitia ea unde expedita cupiditate. Quidem quibusdam autem iusto molestias voluptates.,,77.7,,Ddos,Known Pattern A,Blocked,Low,Samarth Shenoy,Opera/8.62.(X11; Linux i686; niu-NZ) Presto/2.9.168 Version/10.00,Segment B,"Siliguri, Haryana",,Log Data,,Firewall
