timestamp,source_ip_address,destination_ip_address,source_port,destination_port,protocol,packet_length,packet_type,traffic_type,malware_indicators,anomaly_scores,alerts_warnings,attack_type,attack_signature,action_taken,severity_level,user_information,device_information,network_segment,geo_location_data,proxy_information,firewall_logs,ids_ips_alerts,log_source
2021-06-28 09:50:39,223.218.134.184,22.139.121.89,58817,26153,UDP,315,Data,DNS,No IoC Detected,90.21,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Divit Sathe,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/9487-10-17 20:28:57 Firefox/8.0,Segment A,"Machilipatnam, West Bengal",47.236.75.206,Log Data,No Alert Data,Firewall
2021-08-20 12:56:39,17.114.236.210,156.43.16.117,34328,25550,ICMP,384,Control,DNS,IoC Detected,32.59,Alert Triggered,Malware,Known Pattern A,Ignored,Medium,Bhamini Toor,Mozilla/5.0 (Android 4.1.1; Mobile; rv:21.0) Gecko/21.0 Firefox/21.0,Segment C,"Khammam, Andhra Pradesh",?,No Log Data,Alert Data,Server
2021-05-15 10:09:17,199.221.117.108,223.233.30.202,53811,50309,UDP,121,Data,FTP,IoC Detected,95.99,No Alert Triggered,Intrusion,Known Pattern B,Logged,Low,Ishaan Zacharia,Mozilla/5.0 (Android 5.0.2; Mobile; rv:67.0) Gecko/67.0 Firefox/67.0,Segment B,"Phusro, Maharashtra",?,No Log Data,Alert Data,Firewall
2020-03-08 11:30:09,76.177.7.188,122.72.32.182,1465,7088,ICMP,1282,Data,FTP,No IoC Detected,65.95,No Alert Triggered,Intrusion,Known Pattern B,Blocked,High,Saira Mani,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/9361-05-08 08:35:27 Firefox/3.6.3,Segment A,"Bhind, Maharashtra",?,No Log Data,Alert Data,Server
2021-11-18 11:08:13,164.8.245.50,148.194.157.207,24151,22012,ICMP,770,Control,DNS,IoC Detected,64.83,Alert Triggered,DDoS,Known Pattern B,Logged,Low,Hrishita Bava,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_6) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/23.0.844.0 Safari/535.0",Segment B,"Naihati, Himachal Pradesh",52.14.142.28,Log Data,No Alert Data,Firewall
2020-11-15 12:21:40,217.65.110.16,94.215.205.219,27799,51398,UDP,812,Control,FTP,No IoC Detected,7.36,No Alert Triggered,Malware,Known Pattern A,Blocked,Medium,Ranbir Reddy,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/36.0.816.0 Safari/533.2",Segment B,"Bahraich, Tripura",?,No Log Data,Alert Data,Firewall
2023-06-26 02:27:29,149.147.241.155,68.41.79.98,62706,49052,UDP,240,Control,FTP,IoC Detected,68.45,Alert Triggered,Malware,Known Pattern A,Ignored,High,Indrajit Sidhu,Opera/9.16.(Windows NT 10.0; tr-CY) Presto/2.9.189 Version/10.00,Segment B,"Panipat, Assam",104.118.182.16,Log Data,Alert Data,Firewall
2023-08-16 22:23:18,222.246.210.249,98.129.191.211,51985,38962,ICMP,173,Control,HTTP,No IoC Detected,83.33,Alert Triggered,Malware,Known Pattern A,Logged,Medium,Jhanvi Kibe,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; mg-MG) AppleWebKit/531.32.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6531.32.5",Segment B,"Purnia, Sikkim",99.244.137.238,Log Data,No Alert Data,Server
2022-11-07 12:33:30,81.152.154.143,3.185.32.86,12490,57274,UDP,1211,Control,DNS,No IoC Detected,16.27,No Alert Triggered,DDoS,Known Pattern A,Ignored,High,Saira Kalita,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/535.31.1 (KHTML, like Gecko) Version/4.1 Safari/535.31.1",Segment B,"Katihar, Meghalaya",?,Log Data,No Alert Data,Server
2021-08-06 08:26:25,196.127.192.233,117.39.251.9,60710,36983,UDP,1431,Control,HTTP,IoC Detected,14.98,Alert Triggered,Intrusion,Known Pattern B,Logged,Low,Heer Kibe,"Mozilla/5.0 (Linux; Android 3.1) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/19.0.851.0 Safari/534.2",Segment B,"Alwar, Himachal Pradesh",107.62.140.112,No Log Data,No Alert Data,Server
2022-01-02 19:37:06,140.164.154.174,109.34.35.84,41226,45838,UDP,153,Control,DNS,IoC Detected,72.7,Alert Triggered,Intrusion,Known Pattern B,Logged,Low,Tanya Dubey,Opera/8.44.(X11; Linux i686; ps-AF) Presto/2.9.189 Version/10.00,Segment B,"Khora , Andhra Pradesh",160.230.155.96,No Log Data,Alert Data,Firewall
2021-11-24 20:53:47,132.255.170.225,197.63.93.155,9871,37347,ICMP,291,Data,FTP,No IoC Detected,91.53,No Alert Triggered,DDoS,Known Pattern B,Blocked,Medium,Prisha Bhargava,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/9616-07-17 03:48:56 Firefox/3.6.3,Segment C,"New Delhi, Tamil Nadu",?,Log Data,No Alert Data,Firewall
2022-10-16 18:20:58,94.91.106.100,13.155.237.208,22154,39473,TCP,308,Control,DNS,IoC Detected,32.97,No Alert Triggered,Intrusion,Known Pattern B,Ignored,High,Tushar Krishnan,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/4.1),Segment C,"Sambalpur, Assam",?,No Log Data,Alert Data,Firewall
2022-05-10 08:47:14,99.76.33.182,48.73.255.233,58979,43794,TCP,1223,Control,DNS,IoC Detected,31.23,No Alert Triggered,Malware,Known Pattern B,Blocked,Low,Onkar Sachdev,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/51.0.857.0 Safari/535.2",Segment B,"Ludhiana, Kerala",112.151.78.17,Log Data,No Alert Data,Server
2020-03-12 04:46:05,166.24.50.108,28.240.25.9,21974,62004,UDP,840,Data,DNS,No IoC Detected,20.55,Alert Triggered,DDoS,Known Pattern B,Logged,Low,Aaryahi Dube,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_4 rv:6.0; sl-SI) AppleWebKit/533.38.4 (KHTML, like Gecko) Version/5.1 Safari/533.38.4",Segment C,"Nashik, Manipur",?,Log Data,Alert Data,Firewall
2021-09-02 19:56:29,158.97.69.168,218.105.81.155,39416,60502,TCP,797,Data,DNS,No IoC Detected,45.99,No Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,Prerak Mane,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/62.0.854.0 Safari/534.2",Segment A,"Bhimavaram, Kerala",4.161.48.20,No Log Data,No Alert Data,Server
2022-01-14 12:43:38,48.202.190.155,221.144.82.120,39571,17029,ICMP,871,Data,HTTP,No IoC Detected,41.75,No Alert Triggered,DDoS,Known Pattern A,Blocked,High,Kabir Sheth,"Mozilla/5.0 (Linux; Android 4.1.1) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/20.0.874.0 Safari/536.1",Segment B,"Kumbakonam, Meghalaya",?,No Log Data,Alert Data,Firewall
2021-06-02 20:37:21,152.204.193.235,92.159.174.52,15426,14784,ICMP,169,Control,HTTP,No IoC Detected,78.04,Alert Triggered,DDoS,Known Pattern A,Logged,High,Dishani Solanki,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/5.1),Segment A,"Phagwara, Meghalaya",?,Log Data,No Alert Data,Server
2023-07-03 11:53:22,47.160.193.40,165.142.90.69,9136,21795,ICMP,721,Control,FTP,No IoC Detected,60.68,Alert Triggered,Malware,Known Pattern A,Logged,Low,Miraya Aggarwal,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/37.0.807.0 Safari/535.2",Segment C,"Nashik, Gujarat",?,No Log Data,Alert Data,Server
2021-09-09 08:17:40,182.248.23.29,167.49.66.13,47242,30084,TCP,1210,Data,DNS,No IoC Detected,50.53,No Alert Triggered,DDoS,Known Pattern A,Blocked,High,Abram Bhasin,Mozilla/5.0 (Android 2.2.1; Mobile; rv:27.0) Gecko/27.0 Firefox/27.0,Segment A,"Warangal, Meghalaya",188.161.189.139,Log Data,No Alert Data,Server
2022-07-25 03:45:42,2.19.200.72,213.154.116.14,58548,17448,ICMP,1273,Control,HTTP,No IoC Detected,3.77,No Alert Triggered,Malware,Known Pattern A,Blocked,Low,Nirvaan Issac,"Mozilla/5.0 (Linux; Android 2.3.7) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/15.0.811.0 Safari/532.2",Segment A,"Salem, Uttarakhand",?,Log Data,Alert Data,Firewall
2022-04-10 07:20:09,94.177.87.210,122.241.64.11,8801,25742,TCP,497,Data,DNS,IoC Detected,19.09,No Alert Triggered,Intrusion,Known Pattern B,Blocked,Medium,Ivana Tella,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/4.0),Segment B,"Jalna, Uttarakhand",108.25.136.143,No Log Data,No Alert Data,Server
2021-10-15 00:03:01,36.86.194.49,221.209.104.24,46706,24994,UDP,1476,Control,HTTP,No IoC Detected,87.79,Alert Triggered,Malware,Known Pattern A,Logged,Low,Hunar Dada,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_1) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/31.0.800.0 Safari/536.2",Segment B,"Mirzapur, Arunachal Pradesh",?,No Log Data,Alert Data,Server
2021-09-29 21:26:02,210.3.241.150,88.80.69.236,15991,38157,UDP,1483,Control,FTP,IoC Detected,42.48,No Alert Triggered,Malware,Known Pattern A,Ignored,Medium,Myra Vora,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.1),Segment C,"Jabalpur, Odisha",19.214.187.48,Log Data,Alert Data,Firewall
2021-09-10 06:08:00,80.3.109.117,8.132.12.7,53204,13724,TCP,1265,Control,DNS,IoC Detected,10.32,No Alert Triggered,Intrusion,Known Pattern B,Ignored,Low,Seher Maharaj,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/26.0.858.0 Safari/533.0",Segment B,"Giridih, Madhya Pradesh",?,Log Data,Alert Data,Server
2023-08-16 13:32:45,13.195.193.200,215.92.154.86,45747,34324,TCP,708,Control,DNS,No IoC Detected,96.49,Alert Triggered,Malware,Known Pattern A,Ignored,High,Eshani Bahl,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/4.1),Segment A,"Rewa, Kerala",115.41.96.35,No Log Data,No Alert Data,Server
2020-08-23 02:01:10,24.251.4.95,28.115.59.132,31716,47650,UDP,433,Data,DNS,IoC Detected,35.31,Alert Triggered,DDoS,Known Pattern B,Ignored,Medium,Parinaaz Shankar,Opera/9.18.(Windows 98; Win 9x 4.90; bo-IN) Presto/2.9.161 Version/12.00,Segment B,"Asansol, Haryana",45.0.25.149,Log Data,Alert Data,Firewall
2020-01-06 18:04:10,190.181.202.114,136.224.171.87,17832,30380,UDP,270,Control,HTTP,IoC Detected,70.94,No Alert Triggered,Malware,Known Pattern B,Ignored,Medium,Mamooty Madan,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/41.0.837.0 Mobile/60W355 Safari/534.0",Segment B,"Bhubaneswar, Chhattisgarh",?,No Log Data,No Alert Data,Firewall
2022-11-25 19:42:15,73.98.12.110,201.80.11.176,1387,16945,UDP,1037,Control,HTTP,No IoC Detected,37.66,Alert Triggered,Intrusion,Known Pattern B,Blocked,Low,Sara Gaba,Opera/8.33.(Windows NT 5.2; ca-FR) Presto/2.9.182 Version/12.00,Segment C,"Rajahmundry, Uttarakhand",?,No Log Data,No Alert Data,Server
2022-04-08 22:29:02,159.81.235.150,155.243.96.33,59641,24136,TCP,1419,Control,FTP,No IoC Detected,14.38,Alert Triggered,DDoS,Known Pattern A,Logged,Low,Neysa Cherian,Mozilla/5.0 (Android 1.6; Mobile; rv:22.0) Gecko/22.0 Firefox/22.0,Segment A,"Ramagundam, Uttar Pradesh",?,No Log Data,Alert Data,Firewall
2020-01-31 17:13:55,211.99.254.196,29.142.70.70,24831,16994,TCP,1218,Control,DNS,IoC Detected,50.96,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Saanvi Sabharwal,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/36.0.812.0 Safari/531.0",Segment C,"Tiruppur, Rajasthan",50.203.235.53,No Log Data,Alert Data,Firewall
2021-03-24 07:24:33,94.128.51.218,200.247.238.179,5215,29752,ICMP,1100,Data,FTP,IoC Detected,6.36,No Alert Triggered,DDoS,Known Pattern A,Logged,High,Kaira Grewal,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_7; rv:1.9.4.20) Gecko/2941-09-26 07:28:46 Firefox/3.8,Segment A,"Ahmednagar, Telangana",?,Log Data,No Alert Data,Server
2022-11-06 20:33:58,157.242.212.206,149.150.117.242,16162,44457,TCP,182,Data,HTTP,IoC Detected,53.41,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Shamik Chacko,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/3.0),Segment C,"Bally, Maharashtra",149.211.164.37,No Log Data,No Alert Data,Firewall
2022-11-16 05:49:18,111.197.70.200,222.92.89.205,40875,43289,UDP,223,Control,DNS,IoC Detected,20.59,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,Ivan Vala,"Mozilla/5.0 (iPad; CPU iPad OS 14_2_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/18.3q4442.0 Mobile/45E021 Safari/533.2",Segment C,"Bhopal, Goa",202.56.122.125,Log Data,No Alert Data,Firewall
2020-08-02 14:27:21,204.209.128.143,24.22.129.185,60924,1494,TCP,743,Data,HTTP,No IoC Detected,65.37,Alert Triggered,Intrusion,Known Pattern A,Logged,Medium,Zeeshan Krishnan,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; shs-CA) AppleWebKit/535.3.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6535.3.2",Segment B,"Malda, Jharkhand",38.119.200.100,No Log Data,Alert Data,Server
2020-03-31 11:17:15,81.252.137.233,82.170.67.228,60186,18450,UDP,676,Control,DNS,IoC Detected,30.16,Alert Triggered,Malware,Known Pattern B,Logged,Medium,Tiya Venkatesh,Opera/8.67.(X11; Linux i686; sat-IN) Presto/2.9.164 Version/12.00,Segment B,"Anantapur, Maharashtra",189.91.111.115,No Log Data,No Alert Data,Server
2023-02-20 08:07:52,33.201.52.140,93.132.206.127,37221,4976,ICMP,703,Control,HTTP,No IoC Detected,60.65,No Alert Triggered,DDoS,Known Pattern A,Logged,Medium,Veer Chakraborty,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/5.1),Segment B,"Ongole, Tripura",28.221.245.15,No Log Data,Alert Data,Server
2022-04-02 11:49:42,40.227.120.250,55.225.99.12,54038,12093,TCP,1237,Control,FTP,No IoC Detected,31.81,Alert Triggered,Malware,Known Pattern A,Blocked,Low,Neysa Sant,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_2 rv:6.0; ayc-PE) AppleWebKit/532.9.2 (KHTML, like Gecko) Version/4.0.4 Safari/532.9.2",Segment A,"Shimla, Chhattisgarh",111.11.97.162,No Log Data,Alert Data,Firewall
2021-02-01 18:50:37,34.115.8.34,42.197.72.242,34135,33271,ICMP,1120,Data,HTTP,No IoC Detected,48.15,Alert Triggered,Intrusion,Known Pattern A,Ignored,Medium,Kimaya Behl,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; te-IN) AppleWebKit/531.34.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6531.34.7",Segment A,"Thane, Assam",?,Log Data,No Alert Data,Server
2022-03-14 19:56:56,47.232.217.13,194.23.132.124,60167,19791,TCP,1002,Control,DNS,No IoC Detected,14.27,Alert Triggered,Malware,Known Pattern B,Blocked,Low,Abram D’Alia,Opera/8.35.(X11; Linux i686; ky-KG) Presto/2.9.166 Version/10.00,Segment A,"Kochi, Mizoram",?,No Log Data,Alert Data,Server
2021-01-01 00:49:57,85.0.120.6,76.92.20.134,57229,40275,UDP,81,Data,FTP,IoC Detected,11.0,Alert Triggered,Malware,Known Pattern A,Ignored,Low,Zoya Vala,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/11.9x4194.0 Mobile/45M716 Safari/536.1",Segment A,"Bangalore, Tripura",92.193.158.28,Log Data,Alert Data,Server
2020-06-17 10:27:49,93.178.242.184,31.176.91.106,6356,60192,ICMP,788,Control,DNS,No IoC Detected,0.14,Alert Triggered,Intrusion,Known Pattern B,Logged,Low,Akarsh Kalla,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; hak-TW) AppleWebKit/534.6.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6534.6.1",Segment B,"Hubli–Dharwad, Manipur",?,No Log Data,No Alert Data,Firewall
2020-03-07 23:40:39,145.245.83.212,124.242.181.136,33620,53911,UDP,504,Control,HTTP,IoC Detected,17.7,Alert Triggered,DDoS,Known Pattern B,Blocked,High,Arnav Kumer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0 rv:2.0; lo-LA) AppleWebKit/534.31.3 (KHTML, like Gecko) Version/5.0 Safari/534.31.3",Segment A,"Guntakal, Himachal Pradesh",?,Log Data,Alert Data,Server
2022-01-15 14:44:45,172.173.119.60,143.180.138.84,3576,50710,TCP,1101,Control,HTTP,IoC Detected,32.51,No Alert Triggered,Malware,Known Pattern A,Ignored,Low,Indrans Deep,Opera/8.28.(X11; Linux i686; tk-TM) Presto/2.9.182 Version/10.00,Segment A,"Guna, Manipur",177.177.110.205,Log Data,Alert Data,Server
2023-03-07 14:46:12,70.133.241.208,170.124.40.182,19071,61390,TCP,437,Control,HTTP,No IoC Detected,92.74,No Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Emir Rajagopalan,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_1) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/16.0.843.0 Safari/532.0",Segment B,"Bidar, Tamil Nadu",36.202.233.107,Log Data,Alert Data,Server
2020-07-23 04:53:02,166.40.32.90,125.165.202.73,38340,53628,ICMP,1301,Data,FTP,No IoC Detected,87.56,No Alert Triggered,Malware,Known Pattern A,Ignored,Medium,Mamooty Bajwa,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_3 rv:6.0; lzh-TW) AppleWebKit/533.29.2 (KHTML, like Gecko) Version/5.0.3 Safari/533.29.2",Segment C,"Nizamabad, Gujarat",93.139.192.103,Log Data,No Alert Data,Server
2023-06-11 11:55:14,96.66.88.130,115.212.86.50,13066,30160,ICMP,1430,Data,FTP,No IoC Detected,18.05,No Alert Triggered,Intrusion,Known Pattern B,Logged,Low,Lagan Behl,Mozilla/5.0 (Windows NT 6.0; hak-TW; rv:1.9.1.20) Gecko/3248-01-13 13:21:45 Firefox/3.8,Segment C,"Mathura, Arunachal Pradesh",?,No Log Data,No Alert Data,Server
2021-03-15 16:15:03,122.52.85.79,184.202.172.33,53451,19340,TCP,770,Data,HTTP,IoC Detected,91.67,No Alert Triggered,Malware,Known Pattern A,Blocked,Medium,Chirag Khanna,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_4) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/18.0.837.0 Safari/534.2",Segment B,"Bikaner, Bihar",82.86.220.40,Log Data,Alert Data,Firewall
2022-05-14 11:26:45,138.64.148.143,94.137.46.203,28889,63941,ICMP,605,Data,DNS,No IoC Detected,83.98,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Jivika Ram,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.1),Segment A,"Hazaribagh, Meghalaya",85.23.220.88,Log Data,No Alert Data,Server
2022-07-18 12:32:35,77.34.105.52,197.75.5.92,40131,24373,UDP,1036,Data,FTP,IoC Detected,92.11,Alert Triggered,DDoS,Known Pattern B,Blocked,Medium,Taimur Ramaswamy,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/35.0.826.0 Safari/535.1",Segment C,"Solapur, Telangana",?,Log Data,Alert Data,Server
2022-02-11 22:28:58,72.11.103.25,89.48.70.72,50717,60162,ICMP,1068,Control,DNS,IoC Detected,31.02,No Alert Triggered,Intrusion,Known Pattern A,Ignored,High,Jhanvi Din,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_2 rv:4.0; st-ZA) AppleWebKit/535.41.7 (KHTML, like Gecko) Version/4.0.1 Safari/535.41.7",Segment B,"Kanpur, Tripura",133.131.70.255,No Log Data,Alert Data,Firewall
2021-05-02 01:53:05,110.29.163.247,113.233.207.248,20215,28755,TCP,751,Data,DNS,IoC Detected,49.07,Alert Triggered,Intrusion,Known Pattern B,Logged,High,Yuvraj  Deshmukh,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/531.16.1 (KHTML, like Gecko) Version/5.0.3 Safari/531.16.1",Segment B,"Bikaner, Assam",?,Log Data,No Alert Data,Server
2021-02-10 22:43:43,82.187.118.236,86.198.170.253,15749,34906,ICMP,300,Data,HTTP,No IoC Detected,10.07,Alert Triggered,Malware,Known Pattern B,Logged,Low,Manjari Kaur,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.0),Segment C,"Raurkela Industrial Township, West Bengal",169.241.137.64,Log Data,No Alert Data,Server
